Sector,Correct,Total,Accuracy
MANUFACTURE,8,13,0.6153846153846154
BANKING,8,14,0.5714285714285714
HOTELS,8,14,0.5714285714285714
HYDROPOWER,8,14,0.5714285714285714
MICROFINANCE,4,7,0.5714285714285714
OTHERS,8,14,0.5714285714285714
FINANCE,7,14,0.5
INVESTMENT,2,4,0.5
NEPSE,11,22,0.5
TRADING,4,9,0.4444444444444444
LIFEINSU,3,7,0.42857142857142855
DEVBANK,5,13,0.38461538461538464
NONLIFEINSU,1,7,0.14285714285714285
