FY,IndexName,PublishedDate,Date_30,Return_30d
2003-4,FINANCE,2003-07-15,2003-08-14,0.0
2003-4,NONLIFEINSU,2003-07-15,2003-08-14,0.0
2003-4,NEPSE,2003-07-15,2003-08-14,0.0054025114377493685
2003-4,MICROFINANCE,2003-07-15,2003-08-14,0.0
2003-4,BANKING,2003-07-15,2003-08-14,0.0
2003-4,HOTELS,2003-07-15,2003-08-14,0.0
2003-4,MANUFACTURE,2003-07-15,2003-08-14,0.0
2003-4,OTHERS,2003-07-15,2003-08-14,0.0
2003-4,LIFEINSU,2003-07-15,2003-08-14,0.0
2003-4,INVESTMENT,2003-07-15,2003-08-14,0.0
2003-4,TRADING,2003-07-15,2003-08-14,0.0
2003-4,HYDROPOWER,2003-07-15,2003-08-14,0.0
2003-4,DEVBANK,2003-07-15,2003-08-14,0.0
2004-5,FINANCE,2004-07-19,2004-08-18,0.0
2004-5,NONLIFEINSU,2004-07-19,2004-08-18,0.0
2004-5,NEPSE,2004-07-19,2004-08-18,0.0795256209442829
2004-5,MICROFINANCE,2004-07-19,2004-08-18,0.0
2004-5,BANKING,2004-07-19,2004-08-18,0.0
2004-5,HOTELS,2004-07-19,2004-08-18,0.0
2004-5,MANUFACTURE,2004-07-19,2004-08-18,0.0
2004-5,OTHERS,2004-07-19,2004-08-18,0.0
2004-5,LIFEINSU,2004-07-19,2004-08-18,0.0
2004-5,INVESTMENT,2004-07-19,2004-08-18,0.0
2004-5,TRADING,2004-07-19,2004-08-18,0.0
2004-5,HYDROPOWER,2004-07-19,2004-08-18,0.0
2004-5,DEVBANK,2004-07-19,2004-08-18,0.0
2005-6,FINANCE,2005-07-22,2005-08-21,0.0
2005-6,NONLIFEINSU,2005-07-22,2005-08-21,0.0
2005-6,NEPSE,2005-07-22,2005-08-21,0.011919032777340004
2005-6,MICROFINANCE,2005-07-22,2005-08-21,0.0
2005-6,BANKING,2005-07-22,2005-08-21,0.0
2005-6,HOTELS,2005-07-22,2005-08-21,0.0
2005-6,MANUFACTURE,2005-07-22,2005-08-21,0.0
2005-6,OTHERS,2005-07-22,2005-08-21,0.0
2005-6,LIFEINSU,2005-07-22,2005-08-21,0.0
2005-6,INVESTMENT,2005-07-22,2005-08-21,0.0
2005-6,TRADING,2005-07-22,2005-08-21,0.0
